trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
190,False,"{'a': 0.7, 'e': 0.1481449915475795}",20,0,31.30117891659716,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
191,False,"{'a': 0.7, 'e': 0.1466635416321037}",20,11,15.234848510342424,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.7, 'e': 0.14519690621578268}",25,3,-35.244850649318685,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
193,False,"{'a': 0.7, 'e': 0.14374493715362485}",20,2,21.15649656192392,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.7, 'e': 0.1423074877820886}",20,0,-10.788320672383449,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
195,False,"{'a': 0.7, 'e': 0.1408844129042677}",20,9,-24.329465582711816,"{0: 9, 1: 0, 2: 0, 3: 2, 4: 0}",1
196,False,"{'a': 0.7, 'e': 0.13947556877522502}",20,0,20.429242504643977,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
197,False,"{'a': 0.7, 'e': 0.13808081308747278}",20,0,7.74333382363913,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
198,False,"{'a': 0.7, 'e': 0.13670000495659804}",25,4,28.613407269560895,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.7, 'e': 0.13533300490703207}",20,6,-16.790735606997245,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
200,False,"{'a': 0.7, 'e': 0.13397967485796175}",25,0,16.24184098435166,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.7, 'e': 0.13263987810938213}",20,14,11.222409194425751,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.7, 'e': 0.1313134793282883}",25,2,-7.185353522595417,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
203,False,"{'a': 0.7, 'e': 0.13000034453500542}",25,5,18.323600790510643,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.7, 'e': 0.12870034108965536}",25,3,32.038458335816,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.7, 'e': 0.12741333767875881}",20,16,7.610254409682228,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.7, 'e': 0.12613920430197123}",30,16,24.83361100942462,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.7, 'e': 0.12487781225895152}",25,15,18.56625903481758,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.7, 'e': 0.123629034136362}",20,2,19.253976967421874,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.7, 'e': 0.12239274379499838}",25,3,37.79869659110568,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.7, 'e': 0.1211688163570484}",25,5,-31.67464884461702,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
211,False,"{'a': 0.7, 'e': 0.11995712819347792}",20,12,2.8994319909860478,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.7, 'e': 0.11875755691154315}",25,0,38.40655215001942,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
213,False,"{'a': 0.7, 'e': 0.11756998134242772}",20,0,9.678918683908154,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
214,False,"{'a': 0.7, 'e': 0.11639428152900344}",25,7,27.03609438148205,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.7, 'e': 0.11523033871371341}",30,11,-8.80707495222358,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
216,False,"{'a': 0.7, 'e': 0.11407803532657627}",25,4,25.131463056163962,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.7, 'e': 0.11293725497331052}",25,16,-26.090102748353477,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
218,False,"{'a': 0.7, 'e': 0.1118078824235774}",20,16,4.798434784854635,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.7, 'e': 0.11068980359934164}",35,21,24.676110745844063,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.7, 'e': 0.10958290556334822}",25,13,-21.6271602590052,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
221,False,"{'a': 0.7, 'e': 0.10848707650771475}",20,0,9.517639846752738,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
222,False,"{'a': 0.7, 'e': 0.1074022057426376}",20,6,-21.865077868195478,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
223,False,"{'a': 0.7, 'e': 0.10632818368521123}",25,11,6.572564454680031,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.7, 'e': 0.10526490184835911}",20,13,13.414414983620974,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.7, 'e': 0.10421225282987552}",25,11,28.761744457162358,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.7, 'e': 0.10317013030157676}",25,12,-1.7921381315376732,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
227,False,"{'a': 0.7, 'e': 0.10213842899856099}",30,0,31.26440838581856,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
228,False,"{'a': 0.7, 'e': 0.10111704470857538}",20,12,16.45662723737133,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.7, 'e': 0.10010587426148963}",25,3,21.44443892735503,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
230,False,"{'a': 0.7, 'e': 0.09910481551887473}",25,0,34.732510905362396,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
231,False,"{'a': 0.7, 'e': 0.09811376736368599}",30,21,9.270321795603827,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.7, 'e': 0.09713262969004913}",30,0,-14.589748142422376,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
233,False,"{'a': 0.7, 'e': 0.09616130339314863}",20,12,16.472908299219355,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.7, 'e': 0.09519969035921715}",30,22,13.283160013930157,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.7, 'e': 0.09424769345562498}",20,4,-17.731846696053765,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
236,False,"{'a': 0.7, 'e': 0.09330521652106873}",20,8,21.52150586488512,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.7, 'e': 0.09237216435585804}",20,11,12.534865114924479,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.7, 'e': 0.09144844271229946}",25,8,31.107602751538902,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.7, 'e': 0.09053395828517646}",20,8,21.31245866666443,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.7, 'e': 0.08962861870232469}",25,7,34.17556220935176,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.7, 'e': 0.08873233251530144}",20,15,7.480506669334432,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.7, 'e': 0.08784500919014843}",20,16,6.6335946089156295,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.7, 'e': 0.08696655909824694}",25,15,18.281912243378223,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.7, 'e': 0.08609689350726446}",25,0,19.093783510793422,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
245,False,"{'a': 0.7, 'e': 0.08523592457219181}",30,0,-37.849308725401265,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
246,False,"{'a': 0.7, 'e': 0.0843835653264699}",20,10,18.693670394729843,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.7, 'e': 0.0835397296732052}",35,15,35.313691306377564,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.7, 'e': 0.08270433237647315}",20,14,12.698826865109531,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.7, 'e': 0.08187728905270841}",30,21,-37.792000751849685,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
250,False,"{'a': 0.7, 'e': 0.08105851616218133}",25,16,14.757509138163615,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.7, 'e': 0.08024793100055952}",20,0,31.19972394201121,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
252,False,"{'a': 0.7, 'e': 0.07944545169055392}",20,3,-21.5299255604174,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
253,False,"{'a': 0.7, 'e': 0.07865099717364837}",25,14,0.6807070997601579,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
254,False,"{'a': 0.7, 'e': 0.07786448720191189}",20,14,13.25214285820226,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.7, 'e': 0.07708584232989277}",20,0,30.401397767675387,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
256,False,"{'a': 0.7, 'e': 0.07631498390659384}",25,8,30.557299023940644,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.7, 'e': 0.07555183406752791}",20,9,-4.070892128149335,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
